Member ID,Age,Skills,Availability,Task Preference,Task Name,Task Description,Task Duration,Task Difficulty,Priority Level,Task Skills Required,Assigned Status,Feedback
M001,50,"['Teaching', 'DIY', 'Cooking']",Afternoons,Physical,Fold laundry,Prepare a chocolate cake for dessert.,2 hours,Hard,Low,"['DIY', 'Organizing']",Unassigned,-
M002,24,"['Cleaning', 'DIY']",Afternoons,Indoor,Vacuum the living room,Repair the broken chair.,1 hour,Medium,High,"['Baking', 'Gardening']",Unassigned,Great job!
M003,11,"['Cleaning', 'Teaching']",Afternoons,Outdoor,Help with homework,Decorate the house for the party.,30 minutes,Easy,Low,"['Cleaning', 'Cooking']",Completed,Fantastic effort!
M004,51,"['Painting', 'Organizing', 'Teaching']",Afternoons,Physical,Fold laundry,Paint the backyard fence.,3 hours,Hard,High,['Teaching'],Completed,Could improve!
M005,47,"['Gardening', 'Cooking']",Evenings,Indoor,Paint the fence,Arrange books by size and genre.,1 hour,Medium,Medium,['Cooking'],Completed,Could improve!
M006,24,['Gardening'],Weekdays,Indoor,Arrange the tools,Assist with math homework.,30 minutes,Hard,Medium,"['Cooking', 'Organizing']",Completed,Fantastic effort!
M007,40,['Teaching'],Weekdays,Indoor,Fold laundry,Plan activities and games for the family gathering.,2 hours,Medium,Medium,['Teaching'],Assigned,Could improve!
M008,19,['Painting'],Evenings,Outdoor,Water the plants,Cook dinner for the family.,2 hours,Hard,Medium,['Cooking'],Assigned,Great job!
M009,30,"['Painting', 'DIY']",Evenings,Physical,Organize bookshelf,Organize tools in the toolbox.,1 hour,Easy,Low,['Teaching'],Unassigned,Fantastic effort!
M010,21,"['Baking', 'Gardening']",Weekdays,Physical,Bake a cake,Assist with math homework.,30 minutes,Easy,Low,"['Gardening', 'Cooking']",Assigned,Fantastic effort!
M011,45,"['Cleaning', 'DIY', 'Organizing']",Weekends,Outdoor,Bake a cake,Paint the backyard fence.,3 hours,Hard,Low,"['Cooking', 'Baking']",Assigned,Fantastic effort!
